2020.12.29 19:46:49 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2020.12.29 19:46:58 INFO  time: initialize in 9.03s
2020.12.29 19:47:03 WARN  Build server is not auto-connectable.
2020.12.29 19:47:03 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.12.29 20:04:26 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2020.12.29 20:04:32 INFO  time: initialize in 6.56s
2020.12.29 20:04:40 WARN  Build server is not auto-connectable.
2020.12.29 20:04:40 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
Dec 29, 2020 8:39:17 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTraceNotification
2020.12.29 20:49:50 INFO  shutting down Metals
2021.01.01 11:32:43 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.01 11:32:47 INFO  time: initialize in 4.29s
2021.01.01 11:32:53 WARN  Build server is not auto-connectable.
2021.01.01 11:32:53 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.02 13:12:13 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.02 13:12:17 INFO  time: initialize in 3.99s
2021.01.02 13:12:23 WARN  Build server is not auto-connectable.
2021.01.02 13:12:23 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.04 13:03:50 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.04 13:03:57 INFO  time: initialize in 7.67s
2021.01.04 13:04:03 WARN  Build server is not auto-connectable.
2021.01.04 13:04:03 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.05 16:58:34 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.05 16:58:43 INFO  time: initialize in 8.51s
2021.01.05 16:58:55 WARN  Build server is not auto-connectable.
2021.01.05 16:58:55 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
